product_id,product_name,category,unit_price,quantity_sold,sale_date,region,customer_segment,discount
119,Холодильник LG,Бытовая техника,45990.0,1,2025-01-01,Центр,Стандарт,0.058
107,Фитнес-браслет Mi Band,Электроника,2490.0,3,2025-01-01,Юг,Эконом,0.015
101,Кофеварка Philips HD7432,Бытовая техника,4458.94,5,2025-01-01,Юг,Эконом,0.029
103,Коврик для мыши,Аксессуары,350.0,6,2025-01-01,Сибирь,Эконом,0.005
110,Соковыжималка Braun,Бытовая техника,8900.0,4,2025-01-01,Урал,Эконом,0.028
114,Внешний SSD 1TB,Электроника,7990.0,1,2025-01-01,Юг,Эконом,0.013
105,Наушники JBL Tune,Аксессуары,3990.0,1,2025-01-01,Юг,Стандарт,0.012
108,"Монитор Samsung 24""",Электроника,15990.0,1,2025-01-01,Урал,Стандарт,0.064
105,Наушники JBL Tune,Аксессуары,3990.0,1,2025-01-01,Поволжье,Премиум,0.112
113,Робот-пылесос Xiaomi,Бытовая техника,18990.0,13,2025-01-01,Центр,Премиум,0.143
102,Смартфон Xiaomi Note 12,Электроника,18990.0,9,2025-01-01,Урал,Премиум,0.113
104,Ноутбук Lenovo IdeaPad,Электроника,54990.0,1,2025-01-01,Урал,Стандарт,0.073
111,Планшет Huawei MatePad,Электроника,25990.0,6,2025-01-01,Северо-Запад,Стандарт,0.068
111,Планшет Huawei MatePad,Электроника,25990.0,2,2025-01-01,Дальний Восток,Эконом,0.027
102,Смартфон Xiaomi Note 12,Электроника,18993.64,6,2025-01-01,Поволжье,Стандарт,0.033
104,Ноутбук Lenovo IdeaPad,Электроника,54990.0,1,2025-01-01,Юг,Стандарт,0.011
103,Коврик для мыши,Аксессуары,350.0,12,2025-01-01,Сибирь,Премиум,0.058
112,Клавиатура Logitech K380,Аксессуары,3490.0,3,2025-01-01,Дальний Восток,Эконом,0.001
111,Планшет Huawei MatePad,Электроника,25990.0,6,2025-01-01,Юг,Стандарт,0.044
105,Наушники JBL Tune,Аксессуары,3990.0,1,2025-01-01,Центр,Стандарт,0.054
116,Микроволновая печь Samsung,Бытовая техника,12990.0,4,2025-01-01,Северо-Запад,Эконом,0.015
110,Соковыжималка Braun,Бытовая техника,8900.0,1,2025-01-01,Урал,Стандарт,0.065
101,Кофеварка Philips HD7432,Бытовая техника,4500.0,4,2025-01-01,Урал,Стандарт,0.06
111,Планшет Huawei MatePad,Электроника,25990.0,3,2025-01-01,Поволжье,Стандарт,0.063
104,Ноутбук Lenovo IdeaPad,Электроника,54990.0,1,2025-01-01,Центр,Премиум,0.052
115,Подставка для ноутбука,Аксессуары,890.0,7,2025-01-01,Северо-Запад,Стандарт,0.044
112,Клавиатура Logitech K380,Аксессуары,3490.0,20,2025-01-01,Урал,Премиум,0.096
109,Мышь Logitech M185,Аксессуары,1290.0,11,2025-01-01,Северо-Запад,Стандарт,0.08
120,Стиральная машина Bosch,Бытовая техника,38990.0,3,2025-01-01,Поволжье,Премиум,0.109
108,"Монитор Samsung 24""",Электроника,15990.0,1,2025-01-01,Северо-Запад,Эконом,0.008
106,Электрочайник Bosch TWK,Бытовая техника,3200.0,2,2025-01-01,Сибирь,Стандарт,0.067
105,Наушники JBL Tune,Аксессуары,3990.0,3,2025-01-01,Юг,Премиум,0.121
102,Смартфон Xiaomi Note 12,Электроника,18843.48,3,2025-01-01,Центр,Эконом,0.017
114,Внешний SSD 1TB,Электроника,7990.0,1,2025-01-01,Сибирь,Эконом,0.016
115,Подставка для ноутбука,Аксессуары,890.0,4,2025-01-01,Дальний Восток,Эконом,0.027
117,Смарт-часы Amazfit,Электроника,11990.0,3,2025-01-01,Юг,Стандарт,0.012
118,USB-хаб 4 порта,Аксессуары,590.0,17,2025-01-01,Поволжье,Стандарт,0.064
114,Внешний SSD 1TB,Электроника,7990.0,1,2025-01-01,Поволжье,Эконом,0.013
110,Соковыжималка Braun,Бытовая техника,8722.18,10,2025-01-01,Сибирь,Премиум,0.076
113,Робот-пылесос Xiaomi,Бытовая техника,18990.0,6,2025-01-01,Северо-Запад,Премиум,0.133
107,Фитнес-браслет Mi Band,Электроника,2490.0,9,2025-01-01,Юг,Премиум,0.14
104,Ноутбук Lenovo IdeaPad,Электроника,54990.0,3,2025-01-01,Центр,Премиум,0.068
111,Планшет Huawei MatePad,Электроника,26678.78,6,2025-01-01,Дальний Восток,Стандарт,0.076
108,"Монитор Samsung 24""",Электроника,15990.0,1,2025-01-01,Северо-Запад,Стандарт,0.058
118,USB-хаб 4 порта,Аксессуары,590.0,8,2025-01-01,Северо-Запад,Стандарт,0.023
103,Коврик для мыши,Аксессуары,350.0,7,2025-01-01,Северо-Запад,Эконом,0.013
103,Коврик для мыши,Аксессуары,350.0,13,2025-01-01,Центр,Эконом,0.015
111,Планшет Huawei MatePad,Электроника,25990.0,5,2025-01-01,Северо-Запад,Стандарт,0.037
108,"Монитор Samsung 24""",Электроника,15990.0,3,2025-01-01,Центр,Стандарт,0.025
116,Микроволновая печь Samsung,Бытовая техника,12990.0,2,2025-01-01,Дальний Восток,Стандарт,0.052
102,Смартфон Xiaomi Note 12,Электроника,18990.0,18,2025-01-01,Северо-Запад,Премиум,0.142
117,Смарт-часы Amazfit,Электроника,11990.0,3,2025-01-01,Центр,Эконом,0.017
109,Мышь Logitech M185,Аксессуары,1290.0,24,2025-01-01,Центр,Премиум,0.106
103,Коврик для мыши,Аксессуары,350.0,15,2025-01-01,Центр,Стандарт,0.024
102,Смартфон Xiaomi Note 12,Электроника,18990.0,6,2025-01-01,Урал,Эконом,0.017
104,Ноутбук Lenovo IdeaPad,Электроника,54047.88,1,2025-01-01,Поволжье,Стандарт,0.049
119,Холодильник LG,Бытовая техника,45990.0,3,2025-01-01,Поволжье,Премиум,0.053
118,USB-хаб 4 порта,Аксессуары,590.0,15,2025-01-02,Центр,Стандарт,0.073
114,Внешний SSD 1TB,Электроника,7990.0,2,2025-01-02,Сибирь,Эконом,0.023
114,Внешний SSD 1TB,Электроника,7990.0,1,2025-01-02,Юг,Эконом,0.016
110,Соковыжималка Braun,Бытовая техника,8900.0,3,2025-01-02,Поволжье,Стандарт,0.018
112,Клавиатура Logitech K380,Аксессуары,3490.0,18,2025-01-02,Северо-Запад,Стандарт,0.064
105,Наушники JBL Tune,Аксессуары,3988.37,4,2025-01-02,Юг,Премиум,0.083
114,Внешний SSD 1TB,Электроника,7990.0,1,2025-01-02,Юг,Стандарт,0.054
